hurricane_name,date,severity,deaths,location,injuries,damage_billions,duration_days,event_trading_date,event_date_shift_days,spy_prev_5d_return,vix,energy_prev_5d_return,energy_20d_volatility,energy_volume_change,energy_drawdown,energy_beta,utilities_prev_5d_return,utilities_20d_volatility,utilities_volume_change,utilities_drawdown,utilities_beta,financials_prev_5d_return,financials_20d_volatility,financials_volume_change,financials_drawdown,financials_beta,industrials_prev_5d_return,industrials_20d_volatility,industrials_volume_change,industrials_drawdown,industrials_beta,energy_5d_abnormal_return,utilities_5d_abnormal_return,financials_5d_abnormal_return,industrials_5d_abnormal_return
Flossie (2001),2001-07-06,Category 3,0,None reported,Not reported,0.0,8,2001-07-06,0,-0.0038472495094190595,20.09000015258789,0.01836356158937469,0.20133689557014317,1.9954581500973254,-0.07506036849572695,0.07074939218011743,0.02465922902259332,0.2020280826142694,0.008933263268523284,-0.02015476157377183,0.15109117128811056,-0.0013990955342001454,0.20742714625309336,-0.8285678402344618,-0.021590253579013674,0.8289604796325132,0.0013682389206701728,0.13288655852644574,1.4240802675585282,-0.05650006030126631,0.8805598855279949,-0.050487232490701195,-0.024259587364631408,-0.02071694863371465,-0.01739731763724528
Gil (2001),2001-07-25,Category 2,0,None reported,Not reported,0.0,7,2001-07-25,0,-0.026526565530189172,25.239999771118164,-0.016353358116341865,0.222726796584856,-0.666296227696487,-0.09824590706271596,0.30231669367200054,-0.06937051321140364,0.18915019786190806,1.543578797580932,-0.08302185960384034,0.34476473898215754,-0.02948438096081818,0.1959610238292906,-0.8368278592536205,-0.04973850488283138,0.8413755263526826,-0.034955288550639785,0.21494855280827466,4.856717353817213,-0.04542347693098503,0.8863558747407251,-0.014793536360583337,-0.007346514936668491,0.0008797723744013997,-0.002346264749166993
Juliette (2001),2001-09-21,Category 4,7,Baja California Sur; Sonora,Not reported,0.4,12,2001-09-21,0,-0.1030438588754855,43.7400016784668,-0.12677571531184884,0.2463194060117253,1.7488920267870873,-0.1488862374521558,0.424842710290497,0.0029883031686135375,0.1266808434512485,-0.799220111175641,-0.006902875674930753,0.33298087608265536,-0.10420867242059295,0.2332649222638969,-0.3972133902919174,-0.18579215961297957,0.8050817179623051,-0.17769379915584682,0.39921999195078217,1.1633384536610345,-0.24662315540770974,1.1260220597985116,-0.044096594204625195,-0.06913856491607273,0.05333855265609899,0.018186819277442146
Kiko (2001),2001-10-14,Category 3,0,None reported,Not reported,0.0,6,2001-10-15,1,0.02787918232838904,35.27000045776367,0.038899107773486374,0.4035267023380518,-0.3025390027531355,-0.007015052504787955,0.5640329891814722,-0.024180086377105448,0.216689988244174,-0.6805685162587036,-0.024180086377105448,0.4002637183860891,0.024257274952757202,0.3548858507334145,0.34122827735871697,-0.033924809979579695,0.9294850093558524,0.034682473425972304,0.4093681215540512,-0.2655849701110162,-0.009485750336809762,1.269376320556312,-0.019907995261035594,-0.01651610614269372,0.011046770819755025,-0.016616202538500824
Narda (2001),2001-10-27,Category 1,0,Western Mexico,Not reported,0.0,6,2001-10-29,2,0.007764466896136968,28.420000076293945,0.02675996706305961,0.29714094101178734,-0.4669439904917546,-0.017537696582681672,0.5210557010547341,-0.024508313742970134,0.18680745849125052,0.37222288226208855,-0.06392849840475723,0.2596037535694767,0.023684950025910645,0.23885398973156766,-0.7024577372262182,0.0,0.9437417858494257,0.03420556526012386,0.2278970104972404,-0.6488375873841652,0.0,1.2699140824045438,-0.0797904742021891,-0.0258079397828459,0.0024592822656057667,-0.0062226502183275745
Octave (2001),2001-11-01,Category 1,0,None reported,Not reported,0.0,5,2001-11-01,0,-0.04314071020979893,33.560001373291016,-0.022561937847392577,0.3086499981525033,-0.41208935373257216,-0.057874281145568474,0.5443239347452528,-0.015974721747989973,0.17574246527598628,-0.8507706551930723,-0.08181545532462697,0.25400032380620435,-0.034906353602232376,0.2624518656064056,-0.5784796073665086,-0.045881955313064604,0.9570747450003235,-0.045184137756773324,0.2658402682691145,-0.3647058823529412,-0.06264665142874426,1.2884640884845973,-0.05382772941515512,-0.01944608498228284,0.009214300031126665,0.015988050687069988
Gustav (2002),2002-09-08,Category 2,0,Bermuda; Atlantic Canada,Not reported,0.1,4,2002-09-09,1,-0.019393433554035222,36.33000183105469,-0.02444335285496313,0.319897295036939,-0.23060053364523558,-0.056165434967510475,0.9641467884238027,-0.036279502309858436,0.28230031732208477,-0.2634131555016672,-0.07911085385241323,0.923549032955706,-0.0310905942273062,0.32748518808971033,-0.46637278679927885,-0.05913992193032991,1.0785127228578864,-0.030248122949454337,0.26154886182271464,-0.06194239102727506,-0.07413773508674781,0.9428787602447115,0.017453818464447823,-0.03551195199115853,-0.02569174548274744,-0.008589482256570857
Isidore (2002),2002-09-14,Category 3,22,Jamaica; Cayman Islands; Cuba; Yucatan Peninsula; Louisiana,Not reported,1.0,13,2002-09-16,2,-0.010919631167759958,35.81999969482422,0.0017921533466205286,0.28061031898099853,-0.5277574872169466,-0.052542485703152675,0.9899391636929925,-0.03288256196032424,0.25726976395096013,-0.13567633837351856,-0.11111068841608174,0.9087705594509203,-0.032020914922542776,0.29549555656154136,1.9183761840772466,-0.07485530027758003,1.073355743253086,-0.026777449006753606,0.25290358012742736,-0.49560117302052786,-0.09137921938882876,0.9456958134385575,0.009415013477173995,-0.008179299077995306,-0.002000743587240894,0.015173527818042598
Kyle (2002),2002-09-20,Category 1,0,Bermuda; South Carolina,Not reported,0.01,22,2002-09-20,0,-0.05542563822943858,40.650001525878906,-0.050536630772407665,0.2789144226271423,-0.734864254880908,-0.10042379627571552,1.0126232758507647,-0.03650020241188934,0.265179454757109,2.419561933534743,-0.14355532821065975,0.9282092307444626,-0.06526595508212918,0.29147342531345044,0.07003749584290642,-0.13523575269413335,1.0920922908603068,-0.03178383807043994,0.23740654695083208,4.295816640268331,-0.120258675147211,0.9325424874378078,0.03354381252938987,0.009824019840616871,0.016553166220882987,-0.015328414124197165
Lili (2002),2002-09-21,Category 4,15,Windward Islands; Jamaica; Cayman Islands; Cuba; Louisiana,Not reported,1.1,13,2002-09-23,2,-0.05742425638222459,38.97999954223633,-0.050362112891825905,0.2793957764212232,-0.48988644428672823,-0.09112415186736567,1.0219019878887003,-0.048227160259188495,0.2699138971417458,4.025780883794265,-0.16370890697113194,0.9373233642759135,-0.06758610725095393,0.2868127893322405,0.7068682665116546,-0.133576764489302,1.0900465411970093,-0.03770340925378868,0.23119255680052478,-0.3935299857389477,-0.10691833439908471,0.9332264682675071,0.022825086766775526,0.0538441005613951,0.02042091414146141,-0.008913645588960128
